Subject,Hdefault,Adaptivity,Noise,Norm_Ipast,Ipast,Ifuture,X_Ipast,X_Ifuture,Corr_S1,Corr_S2,Corr_S3
OC7098,0.274181779845193,0.55720425209849,1.31130751586312,0.212926355919663,0.282265425788721,0.160354302776949,0.0693390698690587,0.0691965470564052,0.758758758758759,0.63963963963964,0.760760760760761
RC4,0.362491694014335,0.140377292561827,0.617836097349181,0.0524748275394931,0.0934034453621586,0.0872332147391017,0.0409286178226655,0.0409286178226655,NaN,0.531531531531532,NaN
SS2501,0.351981126838182,0.133074384840231,0.521114680075471,0.0758084653468022,0.177136628744881,0.109048451257155,0.101328163398079,0.101328163398079,NaN,NaN,0.698698698698699
SS9016,0.139078853269832,0.347247540943554,1.10375669840058,0.221363889839748,0.322692053237827,0.244526561057936,0.101328163398079,0.101328163398079,NaN,NaN,0.74974974974975
TC9022,0.500006702557214,-1.09511926239791e-05,8.05290023936909e-05,0.0433005133969347,0.151370045439641,0.146270333834237,0.108069532042706,0.108027119326742,0.293293293293293,NaN,NaN
TF9011,0.142794465078018,0.10395915480472,0.683346799470678,0.129054898415517,0.237124430458223,0.129899212385438,0.108069532042706,0.108027119326742,0.770770770770771,NaN,NaN
UC9021,0.119775349921617,0.461829974890694,1.3768414332856,0.157151411522173,0.258479574920252,0.222869592252157,0.101328163398079,0.101328163398079,NaN,NaN,0.761761761761762
WL9018,0.0292966036553496,0.291129373398259,1.50340159424713,0.167750401718047,0.275819933760753,0.18893262035188,0.108069532042706,0.108027119326742,0.80980980980981,NaN,NaN
WZ15,0.000284348000691588,0.925212253459018,4.73046157396921,0.139261815834014,0.208600885703072,0.142248602080908,0.0693390698690587,0.0691965470564052,0.77977977977978,0.504504504504504,0.756756756756757
ZK8985,0.190040304772102,0.0739556846101298,0.447436238920622,0.156715741660496,0.257897246561566,0.192340833421773,0.10118150490107,0.100805218689782,0.795795795795796,NaN,0.70970970970971
