Var1,x,z,h,expH_bayes1,expH_bayes2,e1,e2,q1exp1,q1exp2
844,1,2,0.01,0.0573424318643454,0.49127174864807,2.12026819777366,1.96002632035645,0.0487117252270794,0.203259303137341
845,1,2,0.01,0.0454706138956441,0.491156322528559,1.97203994898833,1.96070267612971,0.0259675915912866,0.196875206500238
846,0,2,0.01,0.0791315311818086,0.491460214126965,2.39505197340651,1.95975067316313,0.208511521931951,0.7964432099696
847,0,2,0.01,0.112235919412319,0.49134374502409,2.89208950091944,1.96035127353144,0.487715554897132,0.803043938054909
848,0,2,0.01,0.12632416516077,0.491217953354546,3.16952810917547,1.96156263377651,0.76024183903,0.803437503057734
849,1,2,0.01,0.154977534070548,0.491522319231278,3.24092122172103,1.96054706485367,0.347940938708041,0.203542808692329
850,1,2,0.01,0.13143039854648,0.491404900275266,3.03572786915554,1.96112987082772,0.15852581588319,0.196979708660457
851,1,2,0.01,0.109837032326001,0.491278173801056,2.82604838055478,1.96232714295974,0.0674922959728089,0.196585711028085
852,1,2,0.01,0.086125285143776,0.491151363735045,2.60247060896932,1.9635809999116,0.040930098944717,0.19652652920813
853,1,2,0.01,0.0710482438893072,0.491025170841526,2.42973288668144,1.96487213801099,0.0280062883114352,0.196476875618165
854,1,2,0.01,0.0595382982082118,0.490899600117046,2.28324382850179,1.96619855670081,0.022804256855801,0.196428014976366
855,1,2,0.01,0.0519233223416246,0.4907746304741,2.16833960611766,1.96756004784047,0.0192202894816335,0.196379400066221
856,1,2,0.01,0.0463219083698991,0.490650238976758,2.07325573942209,1.96895648023742,0.0171009720351384,0.196330999838585
857,0,2,0.01,0.0784575834070203,0.490964142803665,2.49793549152943,1.9679575339389,0.201157835075,0.796230255689806
858,1,2,0.01,0.0686986379938293,0.491261886288309,2.28284436622904,1.96752288143452,0.0549526206167491,0.20326172132392
859,0,2,0.01,0.12720663866031,0.491557501647133,2.87428663125355,1.96697017500026,0.329006428151843,0.796836599035109
860,1,2,0.01,0.119290958520704,0.491849962540005,2.64123328470488,1.96634091878784,0.083078537795982,0.203051448736968
861,1,2,0.01,0.0797545806401604,0.491725871012214,2.32325214400805,1.96684641952397,0.0507320183440716,0.197090558364137
862,1,2,0.01,0.0657786978228378,0.491593500351504,2.16133955362597,1.96795389324853,0.0250539363406512,0.19670627996272
863,1,2,0.01,0.051436607997121,0.491461153534915,2.00748581015688,1.96911776889806,0.0209266037165216,0.196645842553704
864,1,2,0.01,0.0446613555166409,0.491329507552387,1.90911993259282,1.9703208943943,0.0160916775907236,0.196594128503217
865,1,2,0.01,0.0392201875858833,0.491198563330748,1.82585075161513,1.97156138124567,0.0145951338523429,0.196543211840047
866,1,2,0.01,0.0360868016328604,0.491068297962291,1.76458311889159,1.97283906732976,0.0130567957773924,0.196492568149363
867,1,2,0.01,0.0337100738738444,0.490938686768469,1.71324775543953,1.97415385612827,0.0122894615019717,0.196442167609637
868,0,2,0.01,0.0596790338903979,0.491251906558759,2.07922145692741,1.97293291912868,0.158335897100455,0.79634251352919
869,1,2,0.01,0.0536045974141804,0.491548960386551,1.91456998075329,1.97229236685137,0.043066755068398,0.203152172510049
870,1,2,0.01,0.041710681815655,0.491425506338516,1.76871207933209,1.97288270525407,0.0236477553419586,0.196980675184649
871,0,2,0.01,0.07563697804061,0.491732083862589,2.19752081528606,1.9715543943896,0.192336884359346,0.796545527626735
872,1,2,0.01,0.0665472341308703,0.492023965791214,2.00273233466436,1.97078198757752,0.0504252090527047,0.202973206978088
873,0,2,0.01,0.132684557572933,0.492313577471155,2.62588223279699,1.96990920290364,0.317136510339105,0.797124638709378
874,1,2,0.01,0.125587097797292,0.492599968132267,2.41639731186068,1.96897328148257,0.0741601474068212,0.202765741634974
875,0,2,0.01,0.243386017965612,0.492883191530066,3.17784738485045,1.96797557771595,0.460079411163227,0.797341897685897
876,1,2,0.01,0.247774326124638,0.493163250723295,3.01133511329235,1.96692053071901,0.0896158104830916,0.202551597304986
877,1,2,0.01,0.146992126112018,0.493024977644718,2.51403861758507,1.96714755461244,0.0953542501986274,0.197575967303883
878,1,2,0.01,0.115021099667182,0.492879929100743,2.2681481071595,1.96798083717607,0.0358532674738517,0.197202678120353
879,1,2,0.01,0.0743544884662172,0.492735172784288,1.9821179917311,1.96886905949663,0.0330423420597987,0.1971390167415
880,1,2,0.01,0.0582157520595156,0.49259135724671,1.82540048389856,1.96979736875459,0.0196333429762926,0.19708274041704
881,1,2,0.01,0.044385484307525,0.492448477421041,1.6875913680835,1.97076413895437,0.0172358719704776,0.197027309806411
882,0,2,0.01,0.0855844443860603,0.492743975071138,2.15070201763192,1.96911974834586,0.179403416800585,0.796937464024962
883,1,2,0.01,0.0749480116666602,0.493025072412006,1.9566191609414,1.96806915193711,0.0432770418247033,0.202593313153853
884,1,2,0.01,0.0518097829404495,0.49288770157568,1.7376196092858,1.96836092921436,0.0283757821667241,0.197524499643695
885,1,2,0.01,0.0432290956217473,0.492743319845038,1.63040331017997,1.96926101952346,0.0162167031255433,0.197149860360153
886,0,2,0.01,0.0875159592206689,0.493034982596324,2.11290161348093,1.96755065089326,0.184173218386612,0.797054040039114
887,1,2,0.01,0.0780937604776882,0.493312639761574,1.92777454576623,1.96643388508612,0.0427887777307812,0.20248444778761
888,1,2,0.01,0.0522188374250379,0.493172881024798,1.69498688919944,1.96668639742186,0.0293704942952617,0.197630594585262
889,1,2,0.01,0.0436106677263068,0.49302645660388,1.58866120184734,1.96754572419423,0.0160153551004943,0.197259231372193
890,1,2,0.01,0.0354600939114554,0.492880328252286,1.493035387308,1.96845953832726,0.0139599233821039,0.197195192201784
891,0,2,0.01,0.0685973725704315,0.493170255434848,1.90590247798374,1.96670033561654,0.156109402941499,0.797107354088464
892,1,2,0.01,0.0602203467993723,0.493446280245631,1.73590447575543,1.96553988422511,0.0390576741047149,0.2024337880636
893,0,2,0.01,0.127043670740529,0.493720001134055,2.36619086232863,1.96430347323258,0.281652534233881,0.797659555537819
894,0,2,0.01,0.155969949535996,0.493576815822728,2.84455509963943,1.96450062840979,0.513481621343893,0.802218198488776
895,1,2,0.01,0.148793007811107,0.493856774046535,2.62311976624574,1.96265601003691,0.180444435291868,0.202611249360676
896,1,2,0.01,0.110251290967595,0.493713542182251,2.28391970575132,1.96282171963124,0.083457171256564,0.197840211207404
897,1,2,0.01,0.0822178863806075,0.493563562634615,2.02238651011315,1.9636106774272,0.0403110530381741,0.197467259917375
898,1,2,0.01,0.061522235798779,0.493413940967119,1.81369042375446,1.96445382281067,0.0258964365047221,0.197402018127428
899,1,2,0.01,0.0485125267263598,0.493265329359943,1.66285815408343,1.96533548660054,0.0186641544088095,0.197343939260494
900,0,2,0.01,0.0952073316109208,0.493549838816338,2.18953788106077,1.96349403483137,0.196420819972262,0.797258836630331
901,1,2,0.01,0.0817254136952978,0.493820922475383,1.96027874835314,1.96225467865767,0.0460150963958778,0.202291973869561
902,1,2,0.01,0.0565536979133861,0.493677422276654,1.71291794879088,1.9624796414342,0.0302254417783042,0.197818087798023
903,1,2,0.01,0.046231689610473,0.493527817748762,1.58312111396035,1.9633092313914,0.0174689296798803,0.19745297333811
904,1,2,0.01,0.037577596606925,0.493378574376554,1.47395691149614,1.96419120430177,0.0146723150880847,0.197388345149493
905,1,2,0.01,0.0330375519154083,0.493230321629548,1.40295715792643,1.96511156223413,0.0120573996511006,0.19733041691341
906,0,2,0.01,0.0649690488928454,0.493515204526226,1.81920695120245,1.96325013966099,0.151053109889207,0.797245161590367
907,0,2,0.01,0.100648832827453,0.493375313980941,2.37345340356581,1.96353335023702,0.385582018198335,0.802285246580706
908,1,2,0.01,0.0889706676943146,0.493657184886594,2.09114444089688,1.96168125968167,0.118982936908515,0.202688890899963
909,1,2,0.01,0.0658289168968709,0.493516384221343,1.82092686161593,1.96195166968515,0.0506509219074632,0.197766185209316
910,1,2,0.01,0.052225258358007,0.493368472968756,1.65048931524535,1.96285021016181,0.0249914645367584,0.197392201428565
911,1,2,0.01,0.0421126199258973,0.49322084222284,1.51952462544021,1.96380380168105,0.017394805277988,0.197327423901733
912,1,2,0.01,0.0359934394522989,0.493074151885095,1.42789378312161,1.96479588953736,0.0136168621070641,0.197270053313001
913,1,2,0.01,0.0318433932190783,0.492928398623797,1.35864071596942,1.96582487685506,0.011855854546445,0.197213531622464
914,1,2,0.01,0.0291734286268657,0.49278355762068,1.30705048886929,1.96689091625493,0.0107101403879601,0.19715736801002
915,0,2,0.01,0.0566271155550312,0.493074216705785,1.6931894643763,1.96505371807068,0.13920493940192,0.797069684561551
916,1,2,0.01,0.0498648153962209,0.493350643896762,1.53130351365764,1.96382958703426,0.0358537372936117,0.202470096873546
917,1,2,0.01,0.0374888179565559,0.493211359628068,1.38293383244849,1.96421401883301,0.0207503447907615,0.197644108623056
918,1,2,0.01,0.0329477200026153,0.493065223603939,1.31125035374916,1.96521232124635,0.0127939143030943,0.197274504854592
919,1,2,0.01,0.0289543222857118,0.492919314171469,1.25124297865884,1.96626529627974,0.011153010160382,0.197210485521397
920,1,2,0.01,0.0269509340642189,0.492774280622115,1.21233345714686,1.96735731806237,0.00982037702445336,0.197153729984068
921,1,2,0.01,0.0254479677371426,0.492630119146769,1.18096083196265,1.96848678995171,0.0093337028211694,0.197097792925022
922,1,2,0.01,0.0245475261234035,0.492486804951334,1.15730129546827,1.96965382870396,0.00891583283485937,0.197042188773768
923,1,2,0.01,0.0238864024553305,0.492344311460134,1.13761766225949,1.9708586013178,0.00868803736925561,0.196986890128169
924,0,2,0.01,0.0471384942084517,0.4926416649893,1.47449948779642,1.9690144032212,0.120672942852113,0.79689617462475
925,0,2,0.01,0.0761468214773384,0.492508549762902,1.96841794117862,1.96954649327246,0.343050817711033,0.802605520071383
926,1,2,0.01,0.0677041572980495,0.492802718581889,1.72352715839346,1.96770504223476,0.105386471327637,0.203028800492558
927,1,2,0.01,0.0502889049973328,0.492668386093272,1.50310381725251,1.96821303702574,0.0426400342851654,0.197452751979563
928,1,2,0.01,0.0410091832156263,0.492525550994798,1.37648367847649,1.96937029154569,0.0203091704315332,0.197066607901509
929,1,2,0.01,0.0340523114921151,0.492382768621405,1.28128530498426,1.97058703080535,0.0141810353338889,0.197002392633294
930,1,2,0.01,0.0300631579628382,0.49224074612884,1.21756706031722,1.97184373360025,0.0113352323474676,0.196946692370154
931,1,2,0.01,0.0273616529737885,0.492099484935907,1.1698599149862,1.97313854184788,0.0101519140133723,0.196891819923903
932,1,2,0.01,0.0256788748044901,0.491958960712351,1.13490439426188,1.97447148840982,0.00939638963481338,0.196837242021203
